hour,n_trips,median_tip_pct
0,6097,26.13
1,4179,26.71
2,2806,26.71
3,1785,26.45
4,983,25.88
5,1239,23.73
6,3056,23.83
7,6672,25.32
8,9474,25.32
9,10529,25.37
10,11114,25.63
11,12081,25.63
12,13102,25.88
13,13581,25.63
14,14949,25.63
15,15126,25.63
16,15640,27.48
17,17109,27.65
18,17502,27.96
19,15577,27.98
20,13445,27.04
21,13661,26.71
22,12015,26.71
23,8520,26.41
